Date,Open,High,Low,Close,Volume
6/29/2010,19,25,17.540001,23.889999,18766300
6/30/2010,25.790001,30.42,23.299999,23.83,17187100
7/1/2010,25,25.92,20.27,21.959999,8218800
7/2/2010,23,23.1,18.709999,19.200001,5139800
7/6/2010,20,20,15.83,16.110001,6866900
7/7/2010,16.4,16.629999,14.98,15.8,6921700
7/8/2010,16.139999,17.52,15.57,17.459999,7711400
7/9/2010,17.58,17.9,16.549999,17.4,4050600
7/12/2010,17.950001,18.07,17,17.049999,2202500
7/13/2010,17.389999,18.639999,16.9,18.139999,2680100
7/14/2010,17.940001,20.15,17.76,19.84,4195200
7/15/2010,19.940001,21.5,19,19.889999,3739800
7/16/2010,20.700001,21.299999,20.049999,20.639999,2621300
7/19/2010,21.370001,22.25,20.92,21.91,2486500
7/20/2010,21.85,21.85,20.049999,20.299999,1825300
7/21/2010,20.66,20.9,19.5,20.219999,1252500
7/22/2010,20.5,21.25,20.370001,21,957800
7/23/2010,21.190001,21.559999,21.059999,21.290001,653600
7/26/2010,21.5,21.5,20.299999,20.950001,922200
7/27/2010,20.91,21.18,20.26,20.549999,619700
7/28/2010,20.549999,20.9,20.51,20.719999,467200
7/29/2010,20.77,20.879999,20,20.35,616000
7/30/2010,20.200001,20.440001,19.549999,19.940001,426900
8/2/2010,20.5,20.969999,20.33,20.92,718100
8/3/2010,21,21.950001,20.82,21.950001,1230500
8/4/2010,21.950001,22.18,20.85,21.26,913000
8/5/2010,21.540001,21.549999,20.049999,20.450001,796200
8/6/2010,20.1,20.16,19.52,19.59,741900
8/9/2010,19.9,19.98,19.450001,19.6,812700
8/10/2010,19.65,19.65,18.82,19.030001,1281300
8/11/2010,18.690001,18.879999,17.85,17.9,797600
8/12/2010,17.799999,17.9,17.389999,17.6,691000
8/13/2010,18.18,18.450001,17.66,18.32,634000
8/16/2010,18.450001,18.799999,18.26,18.780001,485800
8/17/2010,18.959999,19.4,18.780001,19.15,447900
8/18/2010,19.59,19.59,18.6,18.77,601300
8/19/2010,18.540001,19.25,18.33,18.790001,579100
8/20/2010,18.65,19.110001,18.51,19.1,296000
8/23/2010,19.09,20.389999,19,20.129999,1088100
8/24/2010,19.25,19.709999,18.950001,19.200001,673100
8/25/2010,19.16,19.98,18.559999,19.9,503300
8/26/2010,19.889999,20.27,19.6,19.75,433800
8/27/2010,19.75,19.870001,19.5,19.700001,379600
8/30/2010,19.700001,20.190001,19.610001,19.870001,732800
8/31/2010,19.66,19.790001,19.33,19.48,201100
9/1/2010,19.620001,20.690001,19.6,20.450001,494900
9/2/2010,20.370001,21.24,20.309999,21.059999,487100
9/3/2010,20.870001,21.299999,20.66,21.049999,434600
9/7/2010,20.610001,21,20.5,20.540001,243400
9/8/2010,20.66,20.950001,20.6,20.9,288400
9/9/2010,21,21.049999,20.690001,20.709999,376200
9/10/2010,20.75,20.93,19.76,20.17,386600
9/13/2010,20.889999,20.9,20.5,20.719999,360800
9/14/2010,20.540001,21.6,20.530001,21.120001,654700
9/15/2010,20.98,22,20.790001,21.98,684600
9/16/2010,22.15,23.16,20.84,20.940001,2684500
9/17/2010,21.02,21.32,19.799999,20.23,1198500
9/20/2010,20.67,21.35,20.16,21.059999,947500
9/21/2010,20.889999,21.549999,20.67,20.77,796000
9/22/2010,20.870001,20.950001,19.799999,19.870001,962900
9/23/2010,19.889999,20.139999,19.5,19.559999,668100
9/24/2010,19.950001,20.190001,19.65,20.1,578900
9/27/2010,20.4,20.809999,20.049999,20.530001,418600
9/28/2010,21.040001,21.49,20.76,21.4,1214500
9/29/2010,21.190001,22.030001,21.129999,21.98,1969300
9/30/2010,22,22.15,20.190001,20.41,2195800
10/1/2010,20.690001,20.75,20.309999,20.6,597700
10/4/2010,20.43,21.17,20.299999,20.99,643600
10/5/2010,21.15,21.280001,21.01,21.120001,332000
10/6/2010,21.059999,21.26,20.32,20.459999,313400
10/7/2010,20.57,20.639999,20.34,20.43,141000
10/8/2010,20.43,20.790001,20.389999,20.43,267800
10/11/2010,20.440001,20.700001,20.07,20.24,171200
10/12/2010,20.200001,20.280001,20.030001,20.24,244000
10/13/2010,20.639999,20.85,20.360001,20.540001,318200
10/14/2010,21,21.030001,20.4,20.75,294800
10/15/2010,20.889999,20.9,20.25,20.540001,284700
10/18/2010,20.52,20.639999,20.219999,20.23,162800
10/19/2010,20.200001,20.41,20,20.049999,245200
10/20/2010,20.16,20.690001,20.040001,20.65,312500
10/21/2010,20.610001,20.950001,20.450001,20.75,417100
10/22/2010,20.68,20.93,20.549999,20.719999,161100
10/25/2010,20.940001,20.98,20.73,20.85,118500
10/26/2010,20.799999,21.870001,20.51,21.360001,660900
10/27/2010,21.25,21.379999,20.65,21,356500
10/28/2010,21.389999,21.5,20.959999,21.190001,224200
10/29/2010,21.139999,21.85,21.049999,21.84,280600
11/1/2010,21.940001,22.75,21.309999,21.41,455800
11/2/2010,21.68,21.879999,21.049999,21.25,322500
11/3/2010,21.280001,22.5,21.16,21.77,372600
11/4/2010,22.6,25.33,22.15,24.9,1874000
11/5/2010,24.870001,24.969999,23.719999,24.440001,1011000
11/8/2010,24.5,25,24.030001,24.98,509500
11/9/2010,25,25.690001,24.049999,24.629999,956400
11/10/2010,24.48,29.969999,24.049999,29.360001,3060500
11/11/2010,28.6,29.1,27.33,28.040001,1945300
11/12/2010,28.25,30.5,28.07,29.84,2729100
11/15/2010,30.219999,32.939999,30.219999,30.799999,2622900
11/16/2010,31,31.4,28.42,29.67,1347600
11/17/2010,30.200001,30.75,28.610001,29.49,750000
11/18/2010,30.67,30.74,28.92,29.889999,956100
11/19/2010,30.16,31.370001,29.700001,30.99,1150500
11/22/2010,31.57,33.450001,31.5,33.400002,1529700
11/23/2010,33.290001,35.68,32.189999,34.57,1577800
11/24/2010,35.27,35.970001,34.330002,35.470001,1425000
11/26/2010,35.599998,36,34.75,35.32,350600
11/29/2010,35.41,35.950001,33.330002,34.330002,1145600
11/30/2010,33.740002,35.330002,33.41,35.330002,2222600
12/1/2010,35.869999,36.419998,33.450001,34.349998,1299200
12/2/2010,34.009998,34.299999,31.200001,32.349998,2007000
12/3/2010,32.009998,32.25,30.870001,31.49,1160100
12/6/2010,31.35,31.450001,29.559999,30.309999,1274400
12/7/2010,30.49,32.400002,30.049999,31.559999,1311300
12/8/2010,32.48,32.490002,31.52,32.369999,660000
12/9/2010,32.509998,32.720001,31.65,32.049999,406000
12/10/2010,32.049999,32.919998,31.129999,31.52,429400
12/13/2010,31.639999,31.77,30.4,30.549999,410400
12/14/2010,30.290001,30.389999,27.76,28.530001,1765700
12/15/2010,28.67,29.969999,28.530001,29.6,742900
12/16/2010,30,30.91,29.65,30.809999,790100
12/17/2010,31.34,31.540001,30.709999,31.360001,813000
12/20/2010,31.639999,32.189999,31.26,31.700001,523400
12/21/2010,31.799999,32.689999,31.709999,32.259998,777700
12/22/2010,32.25,32.860001,31.700001,32.630001,833300
12/23/2010,31.26,32.48,29.92,30.09,1552600
12/27/2010,28.02,28.58,25.059999,25.549999,9301900
12/28/2010,25.85,26.75,25,26.41,4056300
12/29/2010,27.030001,28.01,26.5,27.73,3319200
12/30/2010,27.700001,27.9,26.379999,26.5,2041100
12/31/2010,26.57,27.25,26.5,26.629999,1417900
1/3/2011,26.84,27,25.9,26.620001,1283000
1/4/2011,26.66,26.950001,26.02,26.67,1187400
